Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID,case_location,data_as_of,data_loaded_at,Analysis Neighborhoods
161013233,72,16040330,Medical Incident,04/10/2016,04/10/2016,04/10/2016 09:02:02 PM,04/10/2016 09:02:02 PM,04/10/2016 09:06:29 PM,04/10/2016 09:06:52 PM,04/10/2016 09:15:22 PM,04/10/2016 09:31:54 PM,04/10/2016 09:15:22 PM,Code 2 Transport,04/10/2016 10:24:20 PM,CAMPBELL AVE/BRUSSELS ST,San Francisco,94134,B10,44,6266,2,2,2,true,Non Life-threatening,1,MEDIC,1,10,10,Visitacion Valley,161013233-72,POINT (-122.400604 37.715115),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,40
161021520,54,16040522,Medical Incident,04/11/2016,04/11/2016,04/11/2016 11:25:40 AM,04/11/2016 11:26:59 AM,04/11/2016 11:39:34 AM,04/11/2016 11:39:34 AM,04/11/2016 11:46:17 AM,04/11/2016 12:01:39 PM,04/11/2016 12:12:48 PM,Code 2 Transport,04/11/2016 12:45:21 PM,17TH ST/CAPP ST,San Francisco,94110,B02,07,5236,2,2,2,true,Potentially Life-Threatening,1,MEDIC,2,2,9,Mission,161021520-54,POINT (-122.41849 37.763496),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20
161034161,E29,16041101,Alarms,04/12/2016,04/12/2016,04/12/2016 10:51:20 PM,04/12/2016 10:52:38 PM,04/12/2016 10:52:46 PM,04/12/2016 10:54:12 PM,04/12/2016 10:55:37 PM,,,No Merit,04/12/2016 11:15:41 PM,VERMONT ST/15TH ST,San Francisco,94103,B02,29,2353,3,3,3,true,Alarm,1,ENGINE,1,2,10,Mission,161034161-E29,POINT (-122.40475 37.767258),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,4
160951347,E21,16037589,Medical Incident,04/04/2016,04/04/2016,04/04/2016 11:06:10 AM,04/04/2016 11:06:10 AM,04/04/2016 11:06:30 AM,04/04/2016 11:07:57 AM,04/04/2016 11:09:03 AM,,,Patient Declined Transport,04/04/2016 11:30:18 AM,GROVE ST/CENTRAL AVE,San Francisco,94117,B05,21,4361,3,3,3,false,Non Life-threatening,1,ENGINE,1,5,5,Lone Mountain/USF,160951347-E21,POINT (-122.444595 37.775085),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,18
161024128,E01,16040740,Medical Incident,04/11/2016,04/11/2016,04/11/2016 11:15:26 PM,04/11/2016 11:16:07 PM,04/11/2016 11:16:33 PM,04/11/2016 11:18:48 PM,04/11/2016 11:21:13 PM,,,Code 2 Transport,04/11/2016 11:34:46 PM,TURK ST/TAYLOR ST,San Francisco,94102,B03,01,1365,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,3,6,Tenderloin,161024128-E01,POINT (-122.41077 37.783215),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160953776,B03,16037800,Alarms,04/04/2016,04/04/2016,04/04/2016 09:25:18 PM,04/04/2016 09:28:05 PM,04/04/2016 09:28:30 PM,04/04/2016 09:29:53 PM,,,,Fire,04/04/2016 09:45:00 PM,MISSISSIPPI ST/22ND ST,San Francisco,94107,B10,37,2541,3,3,3,false,Alarm,1,CHIEF,2,10,10,Potrero Hill,160953776-B03,POINT (-122.394104 37.75759),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,26
160933222,55,16037018,Structure Fire / Smoke in Building,04/02/2016,04/02/2016,04/02/2016 07:55:45 PM,04/02/2016 07:56:48 PM,04/02/2016 07:57:01 PM,04/02/2016 07:57:22 PM,04/02/2016 08:06:27 PM,,,Fire,04/02/2016 08:08:55 PM,JONES ST/BROADWAY,San Francisco,94133,B01,41,1512,3,3,3,true,Alarm,1,MEDIC,8,1,3,Nob Hill,160933222-55,POINT (-122.41519 37.796806),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,21
161011029,T05,16040129,Structure Fire / Smoke in Building,04/10/2016,04/10/2016,04/10/2016 09:28:51 AM,04/10/2016 09:28:51 AM,04/10/2016 09:28:57 AM,04/10/2016 09:29:53 AM,,,,Fire,04/10/2016 09:34:04 AM,BUCHANAN ST/WILLOW ST,San Francisco,94115,B04,05,0351,3,3,3,false,Alarm,1,TRUCK,3,2,5,Western Addition,161011029-T05,POINT (-122.429115 37.782295),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39
160931564,E26,16036837,Medical Incident,04/02/2016,04/02/2016,04/02/2016 12:15:10 PM,04/02/2016 12:16:02 PM,04/02/2016 12:16:28 PM,04/02/2016 12:18:15 PM,04/02/2016 12:21:36 PM,,,Code 3 Transport,04/02/2016 01:40:54 PM,GENEBERN WAY/MURRAY ST,San Francisco,94112,B06,32,5641,3,E,3,true,Potentially Life-Threatening,1,ENGINE,2,6,9,Bernal Heights,160931564-E26,POINT (-122.42503 37.733547),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,2
161040286,64,16041144,Medical Incident,04/13/2016,04/12/2016,04/13/2016 02:57:50 AM,04/13/2016 02:58:47 AM,04/13/2016 02:59:04 AM,04/13/2016 02:59:49 AM,04/13/2016 03:04:45 AM,04/13/2016 03:39:13 AM,04/13/2016 03:56:25 AM,Code 2 Transport,04/13/2016 04:47:18 AM,STOCKTON ST/BAY ST,San Francisco,94133,B01,28,1341,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,1,3,North Beach,161040286-64,POINT (-122.41031 37.806026),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,23
160982599,T05,16039001,Medical Incident,04/07/2016,04/07/2016,04/07/2016 03:52:15 PM,04/07/2016 03:52:15 PM,04/07/2016 03:52:53 PM,04/07/2016 03:53:26 PM,04/07/2016 03:54:53 PM,,,Code 3 Transport,04/07/2016 04:04:56 PM,LAGUNA ST/MCALLISTER ST,San Francisco,94102,B02,05,3425,A,E,3,false,Potentially Life-Threatening,1,TRUCK,2,2,5,Western Addition,160982599-T05,POINT (-122.42683 37.77926),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39
160993653,52,16039480,Medical Incident,04/08/2016,04/08/2016,04/08/2016 09:26:58 PM,04/08/2016 09:29:33 PM,04/08/2016 09:31:31 PM,04/08/2016 09:31:38 PM,04/08/2016 09:45:15 PM,,,Gone on Arrival,04/08/2016 09:49:06 PM,STEVENSON ST/05TH ST,San Francisco,94103,B01,01,2247,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,3,6,South of Market,160993653-52,POINT (-122.407486 37.783527),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
160972128,T09,16038436,Structure Fire / Smoke in Building,04/06/2016,04/06/2016,04/06/2016 01:28:03 PM,04/06/2016 01:28:03 PM,04/06/2016 01:28:20 PM,04/06/2016 01:32:15 PM,,,,Fire,04/06/2016 01:32:21 PM,MINNESOTA ST/23RD ST,San Francisco,94107,B10,25,2573,3,3,3,false,Alarm,1,TRUCK,2,10,10,Potrero Hill,160972128-T09,POINT (-122.38999 37.755272),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,26
160931791,B03,16036864,Alarms,04/02/2016,04/02/2016,04/02/2016 01:19:32 PM,04/02/2016 01:20:53 PM,04/02/2016 01:21:01 PM,04/02/2016 01:22:10 PM,04/02/2016 01:26:36 PM,,,Fire,04/02/2016 01:30:20 PM,TENNESSEE ST/22ND ST,San Francisco,94107,B10,25,2533,3,3,3,false,Alarm,1,CHIEF,3,10,10,Potrero Hill,160931791-B03,POINT (-122.38925 37.757885),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,26
160954013,E03,16037819,Medical Incident,04/04/2016,04/04/2016,04/04/2016 10:39:15 PM,04/04/2016 10:40:07 PM,04/04/2016 10:40:26 PM,04/04/2016 10:42:14 PM,04/04/2016 10:42:57 PM,,,Patient Declined Transport,04/04/2016 10:46:18 PM,POLK ST/CEDAR ST,San Francisco,94109,B04,03,3121,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,4,6,Tenderloin,160954013-E03,POINT (-122.41983 37.786358),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161032712,B07,16040976,Water Rescue,04/12/2016,04/12/2016,04/12/2016 04:18:56 PM,04/12/2016 04:18:56 PM,04/12/2016 04:19:44 PM,04/12/2016 04:22:03 PM,,,,Fire,04/12/2016 04:53:33 PM,MARINE DR/END,San Francisco,94129,B99,51,4632,3,3,3,false,Fire,1,CHIEF,10,7,2,Presidio,161032712-B07,POINT (-122.4766 37.81068),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,27
160972711,T05,16038494,Structure Fire / Smoke in Building,04/06/2016,04/06/2016,04/06/2016 03:31:34 PM,04/06/2016 03:31:34 PM,04/06/2016 03:31:44 PM,04/06/2016 03:33:46 PM,04/06/2016 03:33:46 PM,,,Fire,04/06/2016 03:34:00 PM,EDDY ST/LAGUNA ST,San Francisco,94115,B02,05,3366,3,3,3,false,Alarm,1,TRUCK,1,2,5,Western Addition,160972711-T05,POINT (-122.4274 37.78206),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39
161020651,50,16040444,Medical Incident,04/11/2016,04/10/2016,04/11/2016 07:42:44 AM,04/11/2016 07:45:01 AM,04/11/2016 07:45:33 AM,04/11/2016 07:45:43 AM,,,,No Merit,04/11/2016 07:54:27 AM,MISSION ST/ACTON ST/SICKLES AVE,San Francisco,94112,B09,33,6213,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,11,Outer Mission,161020651-50,POINT (-122.45267 37.708805),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,28
160962858,E02,16038102,Medical Incident,04/05/2016,04/05/2016,04/05/2016 05:01:36 PM,04/05/2016 05:02:48 PM,04/05/2016 05:02:59 PM,04/05/2016 05:04:35 PM,,,,Code 2 Transport,04/05/2016 05:08:28 PM,FRANKLIN ST/CALIFORNIA ST,San Francisco,94109,B04,38,3155,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,4,2,Pacific Heights,160962858-E02,POINT (-122.42397 37.79016),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39
160964082,B01,16038213,Alarms,04/05/2016,04/05/2016,04/05/2016 10:45:36 PM,04/05/2016 10:47:20 PM,04/05/2016 10:47:31 PM,04/05/2016 10:48:49 PM,04/05/2016 10:50:59 PM,,,Fire,04/05/2016 11:02:16 PM,BATTERY ST/CALIFORNIA ST,San Francisco,94111,B01,13,1162,3,3,3,false,Alarm,1,CHIEF,3,1,3,Financial District/South Beach,160964082-B01,POINT (-122.399956 37.79321),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,8
160923193,E03,16036576,Medical Incident,04/01/2016,04/01/2016,04/01/2016 07:24:13 PM,04/01/2016 07:25:14 PM,04/01/2016 07:25:49 PM,04/01/2016 07:26:50 PM,04/01/2016 07:29:48 PM,,,Patient Declined Transport,04/01/2016 07:32:45 PM,SUTTER ST/JONES ST,San Francisco,94109,B01,03,1463,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,1,3,Nob Hill,160923193-E03,POINT (-122.41354 37.788597),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,21
160930646,E43,16036734,Medical Incident,04/02/2016,04/01/2016,04/02/2016 06:54:11 AM,04/02/2016 06:55:39 AM,04/02/2016 06:56:32 AM,04/02/2016 06:59:15 AM,04/02/2016 07:01:30 AM,,,Code 2 Transport,04/02/2016 07:19:35 AM,ELLINGTON AVE/OTTAWA AVE,San Francisco,94112,B09,43,8334,3,3,3,true,Non Life-threatening,1,ENGINE,1,9,11,Outer Mission,160930646-E43,POINT (-122.44433 37.71409),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,28
160970967,RS2,16038338,Structure Fire / Smoke in Building,04/06/2016,04/06/2016,04/06/2016 09:12:27 AM,04/06/2016 09:12:48 AM,04/06/2016 09:13:30 AM,,,,,Other,04/06/2016 09:15:01 AM,VAN DYKE AVE/JENNINGS ST,San Francisco,94124,B10,17,6651,3,3,3,false,Alarm,1,RESCUE SQUAD,10,10,10,Bayview Hunters Point,160970967-RS2,POINT (-122.38867 37.727043),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
160932268,E41,16036919,Medical Incident,04/02/2016,04/02/2016,04/02/2016 03:39:18 PM,04/02/2016 03:41:09 PM,04/02/2016 03:42:13 PM,04/02/2016 03:43:35 PM,04/02/2016 03:46:03 PM,,,Code 2 Transport,04/02/2016 03:52:19 PM,HYDE ST/CALIFORNIA ST,San Francisco,94109,B01,41,1541,2,2,2,false,Non Life-threatening,1,ENGINE,1,4,3,Nob Hill,160932268-E41,POINT (-122.41739 37.790974),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,21
160922666,E03,16036536,Medical Incident,04/01/2016,04/01/2016,04/01/2016 05:13:29 PM,04/01/2016 05:13:52 PM,04/01/2016 05:16:36 PM,04/01/2016 05:16:46 PM,04/01/2016 05:18:27 PM,,,Code 2 Transport,04/01/2016 05:23:56 PM,EDDY ST/LARKIN ST,San Francisco,94109,B02,03,1643,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,6,Tenderloin,160922666-E03,POINT (-122.41753 37.78331),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161011010,E16,16040122,Medical Incident,04/10/2016,04/10/2016,04/10/2016 09:22:00 AM,04/10/2016 09:22:33 AM,04/10/2016 09:22:43 AM,04/10/2016 09:23:02 AM,04/10/2016 09:27:05 AM,,,Code 2 Transport,04/10/2016 09:36:30 AM,VAN NESS AVE/CHESTNUT ST,San Francisco,94109,B04,16,3235,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,1,2,Marina,161011010-E16,POINT (-122.42473 37.80228),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,32
161002411,66,16039854,Medical Incident,04/09/2016,04/09/2016,04/09/2016 05:16:21 PM,04/09/2016 05:18:14 PM,04/09/2016 05:18:44 PM,04/09/2016 05:18:50 PM,04/09/2016 05:28:50 PM,04/09/2016 05:43:07 PM,04/09/2016 05:58:11 PM,Code 2 Transport,04/09/2016 06:38:49 PM,20TH ST/ILLINOIS ST,San Francisco,94107,B10,37,2665,3,3,3,true,Non Life-threatening,1,MEDIC,2,3,10,Potrero Hill,161002411-66,POINT (-122.387566 37.76055),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,26
160983025,76,16039040,Medical Incident,04/07/2016,04/07/2016,04/07/2016 05:53:24 PM,04/07/2016 05:56:09 PM,04/07/2016 06:17:31 PM,04/07/2016 06:17:38 PM,04/07/2016 06:28:58 PM,04/07/2016 06:35:54 PM,04/07/2016 06:46:58 PM,Code 2 Transport,04/07/2016 07:08:06 PM,STEUART ST/MARKET ST,San Francisco,94105,B03,35,0902,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,1,3,Financial District/South Beach,160983025-76,POINT (-122.394745 37.79448),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,8
160993653,EMS6,16039480,Medical Incident,04/08/2016,04/08/2016,04/08/2016 09:26:58 PM,04/08/2016 09:29:33 PM,04/08/2016 09:33:10 PM,04/08/2016 09:33:10 PM,04/08/2016 09:39:57 PM,,,Gone on Arrival,04/08/2016 09:49:06 PM,STEVENSON ST/05TH ST,San Francisco,94103,B01,01,2247,3,3,3,false,Potentially Life-Threatening,1,CHIEF,1,3,6,South of Market,160993653-EMS6,POINT (-122.407486 37.783527),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
161020437,AM02,16040418,Medical Incident,04/11/2016,04/10/2016,04/11/2016 05:53:09 AM,04/11/2016 05:56:13 AM,04/11/2016 05:56:41 AM,04/11/2016 05:57:08 AM,04/11/2016 06:21:20 AM,04/11/2016 06:37:27 AM,04/11/2016 07:02:00 AM,Code 2 Transport,04/11/2016 07:27:31 AM,KIRKWOOD AVE/DORMITORY RD/KISKA RD,San Francisco,94124,B10,17,6713,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,10,10,Bayview Hunters Point,161020437-AM02,POINT (-122.37493 37.72966),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
160951584,61,16037609,Medical Incident,04/04/2016,04/04/2016,04/04/2016 12:01:46 PM,04/04/2016 12:03:27 PM,04/04/2016 12:06:05 PM,04/04/2016 12:06:12 PM,,,,Gone on Arrival,04/04/2016 12:12:29 PM,VAN NESS AVE/POST ST,San Francisco,94109,B04,03,3161,2,2,2,true,Potentially Life-Threatening,1,MEDIC,2,4,5,Western Addition,160951584-61,POINT (-122.42157 37.786617),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39
161011615,E33,16040186,Medical Incident,04/10/2016,04/10/2016,04/10/2016 12:34:06 PM,04/10/2016 12:35:22 PM,04/10/2016 12:35:34 PM,04/10/2016 12:36:47 PM,04/10/2016 12:41:52 PM,,,Code 2 Transport,04/10/2016 12:54:57 PM,MORSE ST/FLORENTINE AVE,San Francisco,94112,B09,33,6177,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,9,11,Excelsior,161011615-E33,POINT (-122.44332 37.71191),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,7
160962447,81,16038066,Medical Incident,04/05/2016,04/05/2016,04/05/2016 03:27:02 PM,04/05/2016 03:28:11 PM,04/05/2016 03:28:21 PM,04/05/2016 03:28:31 PM,04/05/2016 03:33:24 PM,04/05/2016 03:47:51 PM,04/05/2016 04:12:49 PM,Code 2 Transport,04/05/2016 04:58:30 PM,HOWARD ST/HARRIET ST,San Francisco,94103,B03,01,2252,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,3,6,South of Market,160962447-81,POINT (-122.40769 37.77932),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
161021508,E36,16040519,Medical Incident,04/11/2016,04/11/2016,04/11/2016 11:22:18 AM,04/11/2016 11:24:35 AM,04/11/2016 11:26:33 AM,04/11/2016 11:26:33 AM,04/11/2016 11:29:03 AM,,,Patient Declined Transport,04/11/2016 11:41:26 AM,HAYES ST/POLK ST,San Francisco,94102,B02,36,3165,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,6,Tenderloin,161021508-E36,POINT (-122.418045 37.77751),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161042111,65,16041303,Medical Incident,04/13/2016,04/13/2016,04/13/2016 01:56:09 PM,04/13/2016 01:57:06 PM,04/13/2016 01:58:06 PM,04/13/2016 01:59:31 PM,04/13/2016 02:08:14 PM,04/13/2016 02:23:51 PM,04/13/2016 02:49:57 PM,Code 2 Transport,04/13/2016 03:29:02 PM,EUREKA ST/17TH ST,San Francisco,94114,B05,06,5254,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,5,8,Castro/Upper Market,161042111-65,POINT (-122.438416 37.76229),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,5
160942525,E15,16037334,Medical Incident,04/03/2016,04/03/2016,04/03/2016 04:33:12 PM,04/03/2016 04:34:15 PM,04/03/2016 04:34:27 PM,04/03/2016 04:35:32 PM,04/03/2016 04:37:24 PM,,,Code 3 Transport,04/03/2016 04:43:58 PM,FAXON AVE/HOLLOWAY AVE,San Francisco,94112,B09,15,8463,2,3,3,true,Non Life-threatening,1,ENGINE,1,9,11,Oceanview/Merced/Ingleside,160942525-E15,POINT (-122.46023 37.721836),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,24
161034051,78,16041089,Medical Incident,04/12/2016,04/12/2016,04/12/2016 10:12:58 PM,04/12/2016 10:12:58 PM,04/12/2016 10:13:15 PM,04/12/2016 10:13:38 PM,04/12/2016 10:22:40 PM,04/12/2016 10:39:59 PM,04/12/2016 10:46:49 PM,Code 2 Transport,04/12/2016 11:36:36 PM,ADMIRAL AVE/MISSION ST,San Francisco,94112,B09,32,6113,2,2,2,true,Non Life-threatening,1,MEDIC,1,9,11,Excelsior,161034051-78,POINT (-122.43018 37.72986),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,7
160931745,KM11,16036856,Medical Incident,04/02/2016,04/02/2016,04/02/2016 01:08:02 PM,04/02/2016 01:09:44 PM,04/02/2016 01:10:16 PM,04/02/2016 01:10:52 PM,04/02/2016 01:14:11 PM,,,Against Medical Advice,04/02/2016 02:06:59 PM,WILLOW ST/LARKIN ST,San Francisco,94109,B02,03,1643,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,1,2,6,Tenderloin,160931745-KM11,POINT (-122.41762 37.78378),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160942240,E43,16037304,Medical Incident,04/03/2016,04/03/2016,04/03/2016 03:05:02 PM,04/03/2016 03:06:15 PM,04/03/2016 03:06:34 PM,04/03/2016 03:08:01 PM,,,,Code 2 Transport,04/03/2016 03:08:32 PM,SUNNYDALE AVE/HAHN ST,San Francisco,94134,B09,43,6241,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,9,10,Visitacion Valley,160942240-E43,POINT (-122.416 37.711914),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,40
160963477,KM11,16038153,Medical Incident,04/05/2016,04/05/2016,04/05/2016 07:21:17 PM,04/05/2016 07:24:57 PM,04/05/2016 07:28:08 PM,04/05/2016 07:29:00 PM,04/05/2016 07:31:38 PM,04/05/2016 07:47:40 PM,04/05/2016 08:23:32 PM,Code 2 Transport,04/05/2016 08:45:40 PM,GEARY ST/HYDE ST,San Francisco,94109,B04,03,1556,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,1,4,6,Tenderloin,160963477-KM11,POINT (-122.41645 37.786312),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161001535,AM10,16039751,Medical Incident,04/09/2016,04/09/2016,04/09/2016 12:33:06 PM,04/09/2016 12:35:17 PM,04/09/2016 12:35:45 PM,04/09/2016 12:36:07 PM,04/09/2016 12:40:30 PM,04/09/2016 01:04:54 PM,04/09/2016 01:24:10 PM,Code 2 Transport,04/09/2016 01:57:36 PM,20TH ST/COLLINGWOOD ST,San Francisco,94114,B06,24,5442,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,6,8,Castro/Upper Market,161001535-AM10,POINT (-122.43581 37.75762),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,5
160980328,AM22,16038759,Medical Incident,04/07/2016,04/06/2016,04/07/2016 03:04:17 AM,04/07/2016 03:04:17 AM,04/07/2016 03:04:39 AM,04/07/2016 03:05:25 AM,04/07/2016 03:15:33 AM,,,No Merit,04/07/2016 03:32:42 AM,EDDY ST/LARKIN ST,San Francisco,94109,B02,03,1643,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,2,2,6,Tenderloin,160980328-AM22,POINT (-122.41753 37.78331),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161002574,E18,16039872,Medical Incident,04/09/2016,04/09/2016,04/09/2016 06:04:39 PM,04/09/2016 06:05:03 PM,04/09/2016 06:06:03 PM,04/09/2016 06:07:33 PM,04/09/2016 06:09:40 PM,,,Unable to Locate,04/09/2016 06:12:14 PM,TARAVAL ST/32ND AVE,San Francisco,94116,B08,18,7555,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,161002574-E18,POINT (-122.489624 37.74244),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35
160933464,B09,16037049,Structure Fire / Smoke in Building,04/02/2016,04/02/2016,04/02/2016 09:17:48 PM,04/02/2016 09:18:25 PM,04/02/2016 09:18:58 PM,04/02/2016 09:19:42 PM,04/02/2016 09:24:05 PM,,,Fire,04/02/2016 09:24:42 PM,18TH AVE/VICENTE ST,San Francisco,94116,B08,40,7415,3,3,3,false,Alarm,1,CHIEF,3,8,7,West of Twin Peaks,160933464-B09,POINT (-122.474365 37.739372),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,41
160970578,71,16038292,Medical Incident,04/06/2016,04/05/2016,04/06/2016 07:03:59 AM,04/06/2016 07:03:59 AM,04/06/2016 07:04:14 AM,04/06/2016 07:04:33 AM,04/06/2016 07:15:26 AM,04/06/2016 07:32:05 AM,04/06/2016 07:54:22 AM,Code 2 Transport,04/06/2016 08:15:01 AM,LOMBARD ST/PIERCE ST,San Francisco,94123,B04,16,3566,2,2,2,true,Non Life-threatening,1,MEDIC,1,4,2,Marina,160970578-71,POINT (-122.43934 37.799427),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,13
161022937,79,16040647,Medical Incident,04/11/2016,04/11/2016,04/11/2016 05:20:53 PM,04/11/2016 05:22:08 PM,04/11/2016 05:23:02 PM,04/11/2016 05:23:08 PM,,,,Code 2 Transport,04/11/2016 05:24:55 PM,GENEVA AVE/LINDA VISTA STPS,San Francisco,94112,B09,43,6172,3,3,3,true,Potentially Life-Threatening,1,MEDIC,3,9,11,Excelsior,161022937-79,POINT (-122.429695 37.712265),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,7
161033777,E06,16041065,Medical Incident,04/12/2016,04/12/2016,04/12/2016 08:37:16 PM,04/12/2016 08:37:44 PM,04/12/2016 08:38:21 PM,04/12/2016 08:39:29 PM,04/12/2016 08:41:23 PM,,,Patient Declined Transport,04/12/2016 08:47:15 PM,18TH ST/COLLINGWOOD ST,San Francisco,94114,B05,06,5415,2,2,2,true,Potentially Life-Threatening,1,ENGINE,1,5,8,Castro/Upper Market,161033777-E06,POINT (-122.43611 37.760822),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,5
160970403,70,16038277,Medical Incident,04/06/2016,04/05/2016,04/06/2016 05:17:52 AM,04/06/2016 05:18:32 AM,04/06/2016 05:19:07 AM,04/06/2016 05:19:16 AM,04/06/2016 05:42:59 AM,04/06/2016 05:43:14 AM,04/06/2016 06:22:45 AM,Code 2 Transport,04/06/2016 06:23:15 AM,FRANKLIN ST/GOLDEN GATE AVE,San Francisco,94102,B02,05,0326,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,5,Western Addition,160970403-70,POINT (-122.42209 37.780823),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39
161000007,76,16039548,Medical Incident,04/09/2016,04/08/2016,04/09/2016 12:02:36 AM,04/09/2016 12:02:36 AM,04/09/2016 12:03:04 AM,04/09/2016 12:03:12 AM,,,,No Merit,04/09/2016 12:14:07 AM,BAY ST/MIDWAY ST,San Francisco,94133,B01,28,1263,3,3,3,true,Potentially Life-Threatening,1,MEDIC,3,1,3,North Beach,161000007-76,POINT (-122.409485 37.806133),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,23
160953333,AM16,16037760,Medical Incident,04/04/2016,04/04/2016,04/04/2016 07:01:21 PM,04/04/2016 07:01:21 PM,04/04/2016 07:06:49 PM,04/04/2016 07:07:16 PM,04/04/2016 07:10:23 PM,,,Patient Declined Transport,04/04/2016 07:30:42 PM,ELLIS ST/JONES ST,San Francisco,94102,B03,03,1461,2,2,2,false,Non Life-threatening,1,PRIVATE,1,2,6,Tenderloin,160953333-AM16,POINT (-122.41278 37.784866),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
